Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2022-01-01,4:30 PM,63ʡF,52ʡF,68ʡ%,ESE,7ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
2022-01-01,5:00 PM,63ʡF,52ʡF,68ʡ%,SE,6ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
2022-01-01,5:30 PM,61ʡF,52ʡF,72ʡ%,ESE,5ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
2022-01-01,6:00 PM,61ʡF,50ʡF,68ʡ%,E,6ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
2022-01-01,6:30 PM,59ʡF,52ʡF,77ʡ%,ENE,6ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-01,7:00 PM,57ʡF,52ʡF,82ʡ%,ENE,6ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-01,7:30 PM,55ʡF,52ʡF,88ʡ%,E,3ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-01,8:00 PM,57ʡF,54ʡF,88ʡ%,VAR,2ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-01,8:30 PM,52ʡF,48ʡF,88ʡ%,NW,1ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-01,9:00 PM,48ʡF,46ʡF,93ʡ%,WNW,3ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-01,9:30 PM,48ʡF,46ʡF,93ʡ%,W,5ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-01,10:00 PM,46ʡF,46ʡF,100ʡ%,W,5ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-01,10:30 PM,48ʡF,46ʡF,93ʡ%,WNW,6ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-01,11:00 PM,46ʡF,45ʡF,93ʡ%,WNW,5ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-01,11:30 PM,45ʡF,45ʡF,100ʡ%,W,3ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-01,12:00 AM,45ʡF,43ʡF,93ʡ%,WNW,5ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-01,12:30 AM,45ʡF,45ʡF,100ʡ%,W,3ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-02,1:00 AM,45ʡF,45ʡF,100ʡ%,WNW,5ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-02,1:30 AM,43ʡF,43ʡF,100ʡ%,WNW,3ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-02,2:00 AM,43ʡF,41ʡF,93ʡ%,WNW,3ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-02,2:30 AM,43ʡF,43ʡF,100ʡ%,VAR,1ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-02,3:00 AM,43ʡF,41ʡF,93ʡ%,VAR,2ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-02,3:30 AM,43ʡF,41ʡF,93ʡ%,VAR,2ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-02,4:00 AM,43ʡF,41ʡF,93ʡ%,WSW,1ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-02,4:30 AM,41ʡF,37ʡF,87ʡ%,WNW,3ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-02,5:00 AM,41ʡF,37ʡF,87ʡ%,NW,3ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-02,5:30 AM,39ʡF,37ʡF,93ʡ%,WNW,3ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-02,6:00 AM,41ʡF,37ʡF,87ʡ%,WNW,3ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-02,6:30 AM,39ʡF,37ʡF,93ʡ%,W,3ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-02,7:00 AM,39ʡF,37ʡF,93ʡ%,WNW,5ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-02,7:30 AM,39ʡF,37ʡF,93ʡ%,WNW,5ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-02,8:00 AM,39ʡF,36ʡF,87ʡ%,WNW,5ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-02,8:30 AM,37ʡF,36ʡF,93ʡ%,NW,3ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-02,9:00 AM,39ʡF,36ʡF,87ʡ%,VAR,2ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-02,9:30 AM,39ʡF,36ʡF,87ʡ%,WNW,3ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-02,10:00 AM,39ʡF,37ʡF,93ʡ%,WNW,3ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-02,10:30 AM,43ʡF,39ʡF,87ʡ%,WNW,3ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-02,11:00 AM,46ʡF,39ʡF,76ʡ%,N,3ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-02,11:30 AM,50ʡF,41ʡF,71ʡ%,CALM,0ʡmph,0ʡmph,30.12ʡin,0.0ʡin,Fair
2022-01-02,12:00 PM,54ʡF,45ʡF,72ʡ%,VAR,2ʡmph,0ʡmph,30.12ʡin,0.0ʡin,Fair
2022-01-02,12:30 PM,55ʡF,45ʡF,67ʡ%,ENE,3ʡmph,0ʡmph,30.12ʡin,0.0ʡin,Fair
2022-01-02,1:00 PM,57ʡF,46ʡF,67ʡ%,VAR,2ʡmph,0ʡmph,30.12ʡin,0.0ʡin,Fair
2022-01-02,1:30 PM,59ʡF,45ʡF,59ʡ%,VAR,2ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-02,2:00 PM,61ʡF,43ʡF,52ʡ%,VAR,2ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-02,2:30 PM,63ʡF,45ʡF,52ʡ%,ESE,3ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-02,3:00 PM,63ʡF,45ʡF,52ʡ%,E,3ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-02,3:30 PM,63ʡF,46ʡF,55ʡ%,E,5ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-02,4:00 PM,63ʡF,50ʡF,63ʡ%,E,6ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
2022-01-02,4:30 PM,61ʡF,50ʡF,68ʡ%,E,6ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
2022-01-02,5:00 PM,61ʡF,50ʡF,68ʡ%,ENE,7ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
2022-01-02,5:30 PM,61ʡF,48ʡF,63ʡ%,E,5ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
2022-01-02,6:00 PM,61ʡF,48ʡF,63ʡ%,ENE,3ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-02,6:30 PM,59ʡF,48ʡF,67ʡ%,ESE,3ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-02,7:00 PM,57ʡF,48ʡF,72ʡ%,SSE,3ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-02,7:30 PM,55ʡF,50ʡF,82ʡ%,SE,2ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-02,8:00 PM,55ʡF,50ʡF,82ʡ%,VAR,1ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-02,8:30 PM,50ʡF,46ʡF,87ʡ%,VAR,1ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-02,9:00 PM,50ʡF,46ʡF,87ʡ%,SSE,3ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-02,9:30 PM,48ʡF,46ʡF,93ʡ%,VAR,2ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-02,10:00 PM,48ʡF,45ʡF,87ʡ%,WNW,3ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-02,10:30 PM,46ʡF,45ʡF,93ʡ%,W,2ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-02,11:00 PM,45ʡF,43ʡF,93ʡ%,WNW,5ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-02,11:30 PM,45ʡF,45ʡF,100ʡ%,WNW,5ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-02,12:00 AM,45ʡF,43ʡF,93ʡ%,WNW,3ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-02,12:30 AM,43ʡF,41ʡF,93ʡ%,W,5ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-03,1:00 AM,43ʡF,41ʡF,93ʡ%,WNW,5ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-03,1:30 AM,45ʡF,43ʡF,93ʡ%,NW,3ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-03,2:00 AM,45ʡF,41ʡF,87ʡ%,VAR,2ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-03,2:30 AM,43ʡF,41ʡF,93ʡ%,VAR,2ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-03,3:00 AM,41ʡF,39ʡF,93ʡ%,NW,2ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-03,3:30 AM,41ʡF,39ʡF,93ʡ%,WNW,5ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-03,4:00 AM,41ʡF,39ʡF,93ʡ%,NW,2ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-03,4:30 AM,43ʡF,39ʡF,87ʡ%,NW,6ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-03,5:00 AM,41ʡF,39ʡF,93ʡ%,NW,5ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-03,5:30 AM,41ʡF,39ʡF,93ʡ%,WNW,6ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-03,6:00 AM,39ʡF,37ʡF,93ʡ%,WNW,6ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-03,6:30 AM,39ʡF,37ʡF,93ʡ%,W,3ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Mostly Cloudy
2022-01-03,7:00 AM,41ʡF,39ʡF,93ʡ%,VAR,2ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Mostly Cloudy
2022-01-03,7:30 AM,43ʡF,41ʡF,93ʡ%,NW,6ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Mostly Cloudy
2022-01-03,8:00 AM,45ʡF,41ʡF,87ʡ%,W,5ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Mostly Cloudy
2022-01-03,8:30 AM,45ʡF,41ʡF,87ʡ%,VAR,2ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Mostly Cloudy
2022-01-03,9:00 AM,45ʡF,43ʡF,93ʡ%,WNW,5ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Mostly Cloudy
2022-01-03,9:30 AM,45ʡF,43ʡF,93ʡ%,WNW,3ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Mist
2022-01-03,10:00 AM,45ʡF,43ʡF,93ʡ%,NW,3ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Mist
2022-01-03,10:30 AM,45ʡF,43ʡF,93ʡ%,VAR,2ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fog
2022-01-03,10:46 AM,46ʡF,45ʡF,93ʡ%,WNW,2ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fog
2022-01-03,11:00 AM,46ʡF,46ʡF,100ʡ%,NW,5ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fog
2022-01-03,11:30 AM,46ʡF,46ʡF,100ʡ%,VAR,2ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fog
2022-01-03,12:00 PM,48ʡF,48ʡF,100ʡ%,VAR,1ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fog
2022-01-03,12:09 PM,46ʡF,46ʡF,100ʡ%,VAR,1ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-03,12:30 PM,52ʡF,43ʡF,71ʡ%,VAR,1ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
2022-01-03,1:00 PM,55ʡF,45ʡF,67ʡ%,VAR,2ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
2022-01-03,1:30 PM,57ʡF,37ʡF,48ʡ%,VAR,1ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair
2022-01-03,2:00 PM,59ʡF,45ʡF,59ʡ%,E,3ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair
2022-01-03,2:30 PM,59ʡF,45ʡF,59ʡ%,ESE,5ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Fair
2022-01-03,3:00 PM,59ʡF,45ʡF,59ʡ%,E,6ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Fair
2022-01-03,3:30 PM,59ʡF,45ʡF,59ʡ%,ESE,7ʡmph,0ʡmph,29.95ʡin,0.0ʡin,Fair
2022-01-03,4:00 PM,59ʡF,48ʡF,67ʡ%,ESE,8ʡmph,0ʡmph,29.95ʡin,0.0ʡin,Fair
2022-01-03,4:30 PM,59ʡF,48ʡF,67ʡ%,ESE,8ʡmph,0ʡmph,29.95ʡin,0.0ʡin,Fair
2022-01-03,5:00 PM,59ʡF,50ʡF,72ʡ%,ESE,8ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Fair
2022-01-03,5:30 PM,59ʡF,52ʡF,77ʡ%,E,6ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Fair
2022-01-03,6:00 PM,57ʡF,52ʡF,82ʡ%,ENE,6ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Fair
2022-01-03,6:30 PM,57ʡF,52ʡF,82ʡ%,ENE,6ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Fair
2022-01-03,7:00 PM,55ʡF,52ʡF,88ʡ%,NE,5ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Fair
2022-01-03,7:30 PM,54ʡF,52ʡF,94ʡ%,E,3ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Fair
2022-01-03,8:00 PM,52ʡF,50ʡF,94ʡ%,VAR,2ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Fair
2022-01-03,8:30 PM,52ʡF,50ʡF,94ʡ%,NNW,3ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Fair
2022-01-03,9:00 PM,48ʡF,48ʡF,100ʡ%,NW,3ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Mist
2022-01-03,9:30 PM,48ʡF,46ʡF,93ʡ%,WNW,3ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Mist
2022-01-03,9:51 PM,46ʡF,46ʡF,100ʡ%,W,3ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Mist
2022-01-03,10:00 PM,48ʡF,46ʡF,93ʡ%,W,3ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Mist
2022-01-03,10:30 PM,46ʡF,46ʡF,100ʡ%,WNW,7ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Mist
2022-01-03,11:00 PM,46ʡF,45ʡF,93ʡ%,WNW,7ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Mist
2022-01-03,11:30 PM,46ʡF,45ʡF,93ʡ%,NW,3ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Mist
2022-01-03,12:00 AM,45ʡF,45ʡF,100ʡ%,W,3ʡmph,0ʡmph,29.86ʡin,0.0ʡin,Mist
2022-01-03,12:30 AM,45ʡF,43ʡF,93ʡ%,VAR,2ʡmph,0ʡmph,29.86ʡin,0.0ʡin,Mist
2022-01-04,1:00 AM,45ʡF,45ʡF,100ʡ%,W,3ʡmph,0ʡmph,29.86ʡin,0.0ʡin,Mist
2022-01-04,1:30 AM,46ʡF,45ʡF,93ʡ%,W,7ʡmph,0ʡmph,29.86ʡin,0.0ʡin,Mist
2022-01-04,1:37 AM,46ʡF,45ʡF,93ʡ%,W,6ʡmph,0ʡmph,29.86ʡin,0.0ʡin,Mist
2022-01-04,1:46 AM,46ʡF,45ʡF,93ʡ%,W,5ʡmph,0ʡmph,29.83ʡin,0.0ʡin,Mist
2022-01-04,2:00 AM,46ʡF,45ʡF,93ʡ%,W,5ʡmph,0ʡmph,29.83ʡin,0.0ʡin,Fair
2022-01-04,2:30 AM,46ʡF,43ʡF,87ʡ%,W,8ʡmph,0ʡmph,29.83ʡin,0.0ʡin,Fair
2022-01-04,3:00 AM,48ʡF,43ʡF,82ʡ%,W,6ʡmph,0ʡmph,29.83ʡin,0.0ʡin,Fair
2022-01-04,3:30 AM,45ʡF,41ʡF,87ʡ%,WSW,6ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair
2022-01-04,4:00 AM,48ʡF,41ʡF,76ʡ%,WSW,5ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair
2022-01-04,4:30 AM,54ʡF,43ʡF,67ʡ%,SW,8ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair
2022-01-04,5:00 AM,54ʡF,41ʡF,62ʡ%,SW,3ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Fair
2022-01-04,5:30 AM,55ʡF,43ʡF,63ʡ%,SSW,9ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Fair
2022-01-04,6:00 AM,59ʡF,43ʡF,55ʡ%,SW,12ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Fair
2022-01-04,6:30 AM,57ʡF,43ʡF,59ʡ%,SW,12ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Fair
2022-01-04,7:00 AM,57ʡF,43ʡF,59ʡ%,SW,13ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Fair
2022-01-04,7:30 AM,55ʡF,43ʡF,63ʡ%,WSW,12ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Fair
2022-01-04,8:00 AM,55ʡF,43ʡF,63ʡ%,SW,12ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Fair
2022-01-04,8:30 AM,57ʡF,43ʡF,59ʡ%,SW,12ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Fair
2022-01-04,9:00 AM,55ʡF,43ʡF,63ʡ%,SW,12ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Fair
2022-01-04,9:30 AM,55ʡF,45ʡF,67ʡ%,WSW,9ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Fair
2022-01-04,10:00 AM,54ʡF,45ʡF,72ʡ%,WSW,6ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Fair
2022-01-04,10:30 AM,55ʡF,45ʡF,67ʡ%,WNW,5ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Fair
2022-01-04,11:00 AM,59ʡF,46ʡF,63ʡ%,WNW,3ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Fair
2022-01-04,11:30 AM,61ʡF,48ʡF,63ʡ%,NNW,5ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Fair
2022-01-04,12:00 PM,63ʡF,46ʡF,55ʡ%,N,3ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Fair
2022-01-04,12:30 PM,64ʡF,48ʡF,56ʡ%,ENE,3ʡmph,0ʡmph,29.69ʡin,0.0ʡin,Fair
2022-01-04,1:00 PM,72ʡF,50ʡF,46ʡ%,W,16ʡmph,0ʡmph,29.69ʡin,0.0ʡin,Fair
2022-01-04,1:30 PM,72ʡF,48ʡF,43ʡ%,W,21ʡmph,0ʡmph,29.66ʡin,0.0ʡin,Fair / Windy
2022-01-04,2:00 PM,72ʡF,48ʡF,43ʡ%,W,22ʡmph,0ʡmph,29.63ʡin,0.0ʡin,Fair / Windy
2022-01-04,2:30 PM,73ʡF,50ʡF,44ʡ%,W,18ʡmph,0ʡmph,29.63ʡin,0.0ʡin,Fair
2022-01-04,3:00 PM,73ʡF,48ʡF,41ʡ%,WNW,15ʡmph,0ʡmph,29.60ʡin,0.0ʡin,Fair
2022-01-04,3:30 PM,73ʡF,46ʡF,38ʡ%,W,15ʡmph,0ʡmph,29.57ʡin,0.0ʡin,Fair
2022-01-04,4:00 PM,73ʡF,45ʡF,36ʡ%,W,17ʡmph,0ʡmph,29.57ʡin,0.0ʡin,Fair
2022-01-04,4:30 PM,73ʡF,43ʡF,33ʡ%,W,18ʡmph,0ʡmph,29.54ʡin,0.0ʡin,Fair
2022-01-04,5:00 PM,73ʡF,45ʡF,36ʡ%,W,16ʡmph,0ʡmph,29.54ʡin,0.0ʡin,Fair
2022-01-04,5:30 PM,73ʡF,43ʡF,33ʡ%,W,14ʡmph,0ʡmph,29.54ʡin,0.0ʡin,Fair
2022-01-04,6:00 PM,72ʡF,43ʡF,35ʡ%,W,13ʡmph,0ʡmph,29.51ʡin,0.0ʡin,Fair
2022-01-04,6:30 PM,70ʡF,39ʡF,33ʡ%,W,13ʡmph,0ʡmph,29.51ʡin,0.0ʡin,Fair
2022-01-04,7:00 PM,70ʡF,37ʡF,31ʡ%,W,10ʡmph,0ʡmph,29.51ʡin,0.0ʡin,Fair
2022-01-04,7:30 PM,66ʡF,39ʡF,37ʡ%,WNW,9ʡmph,0ʡmph,29.51ʡin,0.0ʡin,Fair
2022-01-04,8:00 PM,63ʡF,39ʡF,42ʡ%,W,9ʡmph,0ʡmph,29.51ʡin,0.0ʡin,Fair
2022-01-04,8:30 PM,66ʡF,41ʡF,40ʡ%,WSW,17ʡmph,0ʡmph,29.51ʡin,0.0ʡin,Fair
2022-01-04,9:00 PM,64ʡF,39ʡF,40ʡ%,W,24ʡmph,0ʡmph,29.51ʡin,0.0ʡin,Fair / Windy
2022-01-04,9:30 PM,61ʡF,43ʡF,52ʡ%,W,30ʡmph,0ʡmph,29.54ʡin,0.0ʡin,Fair / Windy
2022-01-04,10:00 PM,59ʡF,39ʡF,48ʡ%,W,18ʡmph,0ʡmph,29.57ʡin,0.0ʡin,Fair
2022-01-04,10:30 PM,59ʡF,39ʡF,48ʡ%,W,13ʡmph,25ʡmph,29.54ʡin,0.0ʡin,Fair
2022-01-04,11:00 PM,57ʡF,41ʡF,55ʡ%,W,15ʡmph,0ʡmph,29.54ʡin,0.0ʡin,Fair
2022-01-04,11:30 PM,55ʡF,43ʡF,63ʡ%,W,16ʡmph,0ʡmph,29.54ʡin,0.0ʡin,Fair
2022-01-04,12:00 AM,55ʡF,41ʡF,58ʡ%,W,24ʡmph,0ʡmph,29.51ʡin,0.0ʡin,Fair / Windy
2022-01-04,12:30 AM,55ʡF,39ʡF,54ʡ%,W,17ʡmph,0ʡmph,29.54ʡin,0.0ʡin,Fair
2022-01-05,1:00 AM,54ʡF,39ʡF,58ʡ%,WSW,17ʡmph,0ʡmph,29.54ʡin,0.0ʡin,Fair
2022-01-05,1:30 AM,54ʡF,37ʡF,54ʡ%,W,14ʡmph,0ʡmph,29.54ʡin,0.0ʡin,Fair
2022-01-05,2:00 AM,55ʡF,36ʡF,47ʡ%,W,14ʡmph,0ʡmph,29.54ʡin,0.0ʡin,Fair
2022-01-05,2:30 AM,55ʡF,34ʡF,44ʡ%,WNW,21ʡmph,32ʡmph,29.54ʡin,0.0ʡin,Fair / Windy
2022-01-05,3:00 AM,55ʡF,34ʡF,44ʡ%,W,21ʡmph,32ʡmph,29.54ʡin,0.0ʡin,Fair / Windy
2022-01-05,3:30 AM,55ʡF,32ʡF,41ʡ%,W,18ʡmph,0ʡmph,29.54ʡin,0.0ʡin,Fair
2022-01-05,4:00 AM,55ʡF,32ʡF,41ʡ%,W,16ʡmph,0ʡmph,29.57ʡin,0.0ʡin,Fair
2022-01-05,4:30 AM,55ʡF,30ʡF,38ʡ%,W,17ʡmph,0ʡmph,29.57ʡin,0.0ʡin,Fair
2022-01-05,5:00 AM,55ʡF,32ʡF,41ʡ%,W,15ʡmph,0ʡmph,29.60ʡin,0.0ʡin,Fair
2022-01-05,5:30 AM,55ʡF,30ʡF,38ʡ%,W,15ʡmph,0ʡmph,29.60ʡin,0.0ʡin,Fair
2022-01-05,6:00 AM,55ʡF,30ʡF,38ʡ%,W,17ʡmph,0ʡmph,29.60ʡin,0.0ʡin,Fair
2022-01-05,6:30 AM,55ʡF,30ʡF,38ʡ%,W,18ʡmph,0ʡmph,29.60ʡin,0.0ʡin,Fair
2022-01-05,7:00 AM,54ʡF,30ʡF,41ʡ%,W,18ʡmph,0ʡmph,29.60ʡin,0.0ʡin,Fair
2022-01-05,7:30 AM,54ʡF,32ʡF,44ʡ%,W,16ʡmph,0ʡmph,29.60ʡin,0.0ʡin,Fair
2022-01-05,8:00 AM,54ʡF,32ʡF,44ʡ%,W,15ʡmph,0ʡmph,29.63ʡin,0.0ʡin,Fair
2022-01-05,8:30 AM,54ʡF,30ʡF,41ʡ%,W,15ʡmph,0ʡmph,29.63ʡin,0.0ʡin,Fair
2022-01-05,9:00 AM,52ʡF,30ʡF,44ʡ%,WNW,14ʡmph,0ʡmph,29.66ʡin,0.0ʡin,Fair
2022-01-05,9:30 AM,54ʡF,30ʡF,41ʡ%,WNW,24ʡmph,0ʡmph,29.66ʡin,0.0ʡin,Fair / Windy
2022-01-05,10:00 AM,54ʡF,28ʡF,38ʡ%,WNW,17ʡmph,0ʡmph,29.69ʡin,0.0ʡin,Fair
2022-01-05,10:30 AM,54ʡF,28ʡF,38ʡ%,WNW,18ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Fair
2022-01-05,11:00 AM,55ʡF,27ʡF,33ʡ%,WNW,21ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Fair / Windy
2022-01-05,11:30 AM,55ʡF,25ʡF,31ʡ%,WNW,21ʡmph,35ʡmph,29.71ʡin,0.0ʡin,Fair / Windy
2022-01-05,12:00 PM,55ʡF,27ʡF,33ʡ%,NW,22ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Fair / Windy
2022-01-05,12:30 PM,54ʡF,27ʡF,35ʡ%,WNW,23ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Fair / Windy
2022-01-05,1:00 PM,55ʡF,25ʡF,31ʡ%,NW,16ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Fair
